ECG,EMG,HR,RESP,footGSR,handGSR,stress,NNRR,AVNN,SDNN,RMSSD,pNN50,TP,ULF,VLF,LF,HF,LF_HF
0.611275,-0.0104,372,-7.876275,1.4682,5.0127,,0.975,0.778846,0.0772125,0.0372767,0.0263158,0.0800051,0.0800051,0,0,0,
0.064796296,1.176407407,354,31.1142963,12.21787037,2.583925926,1,0.981481,0.52817,0.0380676,0.0178891,0.0192308,0.0259419,0.0259419,0,0,0,
0.07818,1.19528,297.4,39.3786,10.93192,2.47582,0.96,0.98,0.587531,0.0195737,0.0092376,0.0208333,0.00642574,0.00642574,0,0,0,
0.41005,-0.0064,274.4,-7.633225,1.2153,3.953075,0.125,0.975,0.781359,0.0371402,0.0286402,0.0526316,0.0154511,0.0154511,0,0,0,
0.110953488,0.82472093,251.2,43.61572093,7.486627907,18.09290698,0.11627907,0.976744,0.723595,0.0415276,0.0142461,0.0487805,0.0178054,0.0178054,0,0,0,
0.06609434,1.127641509,249,36.15339623,11.25190566,1.97190566,0.905660377,0.981132,0.559654,0.0524022,0.0300607,0.0588235,0.0349306,0.0349306,0,0,0,
0.4729,-0.0088,221.6,-10.892725,1.51815,4.9286,0.675,0.975,0.785359,0.0545288,0.0261176,0.0263158,0.0406497,0.0406497,0,0,0,
0.03098,0.82694,212,44.77096,12.6297,25.81496,1,0.98,0.587531,0.0195737,0.0092376,0.0208333,0.00641889,0.00641889,0,0,0,
0.018315789,0.439078947,198.3157895,42.32326316,6.0585,7.643789474,0.868421053,0.973684,0.876919,0.0668906,0.0321667,0.0277778,0.0628299,0.0628299,0,0,0,
0.423707317,-0.0036,195,-9.913682927,2.059146341,6.839536585,1,0.97561,0.765875,0.0482526,0.0212826,0.025641,0.0314636,0.0314636,0,0,0,
0.05536,0.77696,188.8,35.5484,10.68964,24.38788,0.66,0.98,0.594163,0.0394532,0.0186195,0.0208333,0.026,0.026,0,0,0,
0.424452381,-0.003,186,-11.52978571,2.055595238,7.515857143,1,0.97619,0.730171,0.0321356,0.015337,0.025,0.014628,0.014628,0,0,0,
0.136390244,0.825439024,185.4,43.28653659,7.271878049,17.04595122,0.12195122,0.97561,0.749875,0.0646419,0.0309047,0.025641,0.0591457,0.0591457,0,0,0,
